sample_id,condition_start_utc,condition_end_utc,target_start_utc,target_end_utc,split
47,2017-09-18T18:00:00Z,2017-11-17T12:00:00Z,2017-11-17T18:00:00Z,2017-12-17T12:00:00Z,train
48,2017-09-19T00:00:00Z,2017-11-17T18:00:00Z,2017-11-18T00:00:00Z,2017-12-17T18:00:00Z,train
49,2017-09-19T06:00:00Z,2017-11-18T00:00:00Z,2017-11-18T06:00:00Z,2017-12-18T00:00:00Z,train
50,2017-09-19T12:00:00Z,2017-11-18T06:00:00Z,2017-11-18T12:00:00Z,2017-12-18T06:00:00Z,train
51,2017-09-19T18:00:00Z,2017-11-18T12:00:00Z,2017-11-18T18:00:00Z,2017-12-18T12:00:00Z,train
52,2017-09-20T00:00:00Z,2017-11-18T18:00:00Z,2017-11-19T00:00:00Z,2017-12-18T18:00:00Z,train
53,2017-09-20T06:00:00Z,2017-11-19T00:00:00Z,2017-11-19T06:00:00Z,2017-12-19T00:00:00Z,train
54,2017-09-20T12:00:00Z,2017-11-19T06:00:00Z,2017-11-19T12:00:00Z,2017-12-19T06:00:00Z,train
55,2017-09-20T18:00:00Z,2017-11-19T12:00:00Z,2017-11-19T18:00:00Z,2017-12-19T12:00:00Z,train
56,2017-09-21T00:00:00Z,2017-11-19T18:00:00Z,2017-11-20T00:00:00Z,2017-12-19T18:00:00Z,train
57,2017-09-21T06:00:00Z,2017-11-20T00:00:00Z,2017-11-20T06:00:00Z,2017-12-20T00:00:00Z,train
58,2017-09-21T12:00:00Z,2017-11-20T06:00:00Z,2017-11-20T12:00:00Z,2017-12-20T06:00:00Z,train
59,2017-09-21T18:00:00Z,2017-11-20T12:00:00Z,2017-11-20T18:00:00Z,2017-12-20T12:00:00Z,train
60,2017-09-22T00:00:00Z,2017-11-20T18:00:00Z,2017-11-21T00:00:00Z,2017-12-20T18:00:00Z,train
61,2017-09-22T06:00:00Z,2017-11-21T00:00:00Z,2017-11-21T06:00:00Z,2017-12-21T00:00:00Z,train
62,2017-09-22T12:00:00Z,2017-11-21T06:00:00Z,2017-11-21T12:00:00Z,2017-12-21T06:00:00Z,train
63,2017-09-22T18:00:00Z,2017-11-21T12:00:00Z,2017-11-21T18:00:00Z,2017-12-21T12:00:00Z,train
64,2017-09-23T00:00:00Z,2017-11-21T18:00:00Z,2017-11-22T00:00:00Z,2017-12-21T18:00:00Z,train
65,2017-09-23T06:00:00Z,2017-11-22T00:00:00Z,2017-11-22T06:00:00Z,2017-12-22T00:00:00Z,train
66,2017-09-23T12:00:00Z,2017-11-22T06:00:00Z,2017-11-22T12:00:00Z,2017-12-22T06:00:00Z,train
67,2017-09-23T18:00:00Z,2017-11-22T12:00:00Z,2017-11-22T18:00:00Z,2017-12-22T12:00:00Z,train
68,2017-09-24T00:00:00Z,2017-11-22T18:00:00Z,2017-11-23T00:00:00Z,2017-12-22T18:00:00Z,train
69,2017-09-24T06:00:00Z,2017-11-23T00:00:00Z,2017-11-23T06:00:00Z,2017-12-23T00:00:00Z,train
70,2017-09-24T12:00:00Z,2017-11-23T06:00:00Z,2017-11-23T12:00:00Z,2017-12-23T06:00:00Z,train
71,2017-09-24T18:00:00Z,2017-11-23T12:00:00Z,2017-11-23T18:00:00Z,2017-12-23T12:00:00Z,train
72,2017-09-25T00:00:00Z,2017-11-23T18:00:00Z,2017-11-24T00:00:00Z,2017-12-23T18:00:00Z,train
73,2017-09-25T06:00:00Z,2017-11-24T00:00:00Z,2017-11-24T06:00:00Z,2017-12-24T00:00:00Z,train
74,2017-09-25T12:00:00Z,2017-11-24T06:00:00Z,2017-11-24T12:00:00Z,2017-12-24T06:00:00Z,train
75,2017-09-25T18:00:00Z,2017-11-24T12:00:00Z,2017-11-24T18:00:00Z,2017-12-24T12:00:00Z,train
76,2017-09-26T00:00:00Z,2017-11-24T18:00:00Z,2017-11-25T00:00:00Z,2017-12-24T18:00:00Z,train
77,2017-09-26T06:00:00Z,2017-11-25T00:00:00Z,2017-11-25T06:00:00Z,2017-12-25T00:00:00Z,train
78,2017-09-26T12:00:00Z,2017-11-25T06:00:00Z,2017-11-25T12:00:00Z,2017-12-25T06:00:00Z,train
79,2017-09-26T18:00:00Z,2017-11-25T12:00:00Z,2017-11-25T18:00:00Z,2017-12-25T12:00:00Z,train
80,2017-09-27T00:00:00Z,2017-11-25T18:00:00Z,2017-11-26T00:00:00Z,2017-12-25T18:00:00Z,train
81,2017-09-27T06:00:00Z,2017-11-26T00:00:00Z,2017-11-26T06:00:00Z,2017-12-26T00:00:00Z,train
82,2017-09-27T12:00:00Z,2017-11-26T06:00:00Z,2017-11-26T12:00:00Z,2017-12-26T06:00:00Z,train
83,2017-09-27T18:00:00Z,2017-11-26T12:00:00Z,2017-11-26T18:00:00Z,2017-12-26T12:00:00Z,train
84,2017-09-28T00:00:00Z,2017-11-26T18:00:00Z,2017-11-27T00:00:00Z,2017-12-26T18:00:00Z,train
85,2017-09-28T06:00:00Z,2017-11-27T00:00:00Z,2017-11-27T06:00:00Z,2017-12-27T00:00:00Z,train
86,2017-09-28T12:00:00Z,2017-11-27T06:00:00Z,2017-11-27T12:00:00Z,2017-12-27T06:00:00Z,train
87,2017-09-28T18:00:00Z,2017-11-27T12:00:00Z,2017-11-27T18:00:00Z,2017-12-27T12:00:00Z,train
88,2017-09-29T00:00:00Z,2017-11-27T18:00:00Z,2017-11-28T00:00:00Z,2017-12-27T18:00:00Z,train
89,2017-09-29T06:00:00Z,2017-11-28T00:00:00Z,2017-11-28T06:00:00Z,2017-12-28T00:00:00Z,train
90,2017-09-29T12:00:00Z,2017-11-28T06:00:00Z,2017-11-28T12:00:00Z,2017-12-28T06:00:00Z,train
91,2017-09-29T18:00:00Z,2017-11-28T12:00:00Z,2017-11-28T18:00:00Z,2017-12-28T12:00:00Z,train
92,2017-09-30T00:00:00Z,2017-11-28T18:00:00Z,2017-11-29T00:00:00Z,2017-12-28T18:00:00Z,train
93,2017-09-30T06:00:00Z,2017-11-29T00:00:00Z,2017-11-29T06:00:00Z,2017-12-29T00:00:00Z,train
94,2017-09-30T12:00:00Z,2017-11-29T06:00:00Z,2017-11-29T12:00:00Z,2017-12-29T06:00:00Z,train
95,2017-09-30T18:00:00Z,2017-11-29T12:00:00Z,2017-11-29T18:00:00Z,2017-12-29T12:00:00Z,train
96,2017-10-01T00:00:00Z,2017-11-29T18:00:00Z,2017-11-30T00:00:00Z,2017-12-29T18:00:00Z,train
97,2017-10-01T06:00:00Z,2017-11-30T00:00:00Z,2017-11-30T06:00:00Z,2017-12-30T00:00:00Z,train
98,2017-10-01T12:00:00Z,2017-11-30T06:00:00Z,2017-11-30T12:00:00Z,2017-12-30T06:00:00Z,train
99,2017-10-01T18:00:00Z,2017-11-30T12:00:00Z,2017-11-30T18:00:00Z,2017-12-30T12:00:00Z,train
100,2017-10-02T00:00:00Z,2017-11-30T18:00:00Z,2017-12-01T00:00:00Z,2017-12-30T18:00:00Z,train
101,2017-10-02T06:00:00Z,2017-12-01T00:00:00Z,2017-12-01T06:00:00Z,2017-12-31T00:00:00Z,train
102,2017-10-02T12:00:00Z,2017-12-01T06:00:00Z,2017-12-01T12:00:00Z,2017-12-31T06:00:00Z,train
103,2017-10-02T18:00:00Z,2017-12-01T12:00:00Z,2017-12-01T18:00:00Z,2017-12-31T12:00:00Z,train
104,2017-10-03T00:00:00Z,2017-12-01T18:00:00Z,2017-12-02T00:00:00Z,2017-12-31T18:00:00Z,train
105,2017-10-03T06:00:00Z,2017-12-02T00:00:00Z,2017-12-02T06:00:00Z,2018-01-01T00:00:00Z,train
106,2017-10-03T12:00:00Z,2017-12-02T06:00:00Z,2017-12-02T12:00:00Z,2018-01-01T06:00:00Z,train
107,2017-10-03T18:00:00Z,2017-12-02T12:00:00Z,2017-12-02T18:00:00Z,2018-01-01T12:00:00Z,train
108,2017-10-04T00:00:00Z,2017-12-02T18:00:00Z,2017-12-03T00:00:00Z,2018-01-01T18:00:00Z,train
109,2017-10-04T06:00:00Z,2017-12-03T00:00:00Z,2017-12-03T06:00:00Z,2018-01-02T00:00:00Z,train
110,2017-10-04T12:00:00Z,2017-12-03T06:00:00Z,2017-12-03T12:00:00Z,2018-01-02T06:00:00Z,train
111,2017-10-04T18:00:00Z,2017-12-03T12:00:00Z,2017-12-03T18:00:00Z,2018-01-02T12:00:00Z,train
112,2017-10-05T00:00:00Z,2017-12-03T18:00:00Z,2017-12-04T00:00:00Z,2018-01-02T18:00:00Z,train
113,2017-10-05T06:00:00Z,2017-12-04T00:00:00Z,2017-12-04T06:00:00Z,2018-01-03T00:00:00Z,train
114,2017-10-05T12:00:00Z,2017-12-04T06:00:00Z,2017-12-04T12:00:00Z,2018-01-03T06:00:00Z,train
115,2017-10-05T18:00:00Z,2017-12-04T12:00:00Z,2017-12-04T18:00:00Z,2018-01-03T12:00:00Z,train
116,2017-10-06T00:00:00Z,2017-12-04T18:00:00Z,2017-12-05T00:00:00Z,2018-01-03T18:00:00Z,train
117,2017-10-06T06:00:00Z,2017-12-05T00:00:00Z,2017-12-05T06:00:00Z,2018-01-04T00:00:00Z,train
118,2017-10-06T12:00:00Z,2017-12-05T06:00:00Z,2017-12-05T12:00:00Z,2018-01-04T06:00:00Z,train
119,2017-10-06T18:00:00Z,2017-12-05T12:00:00Z,2017-12-05T18:00:00Z,2018-01-04T12:00:00Z,train
120,2017-10-07T00:00:00Z,2017-12-05T18:00:00Z,2017-12-06T00:00:00Z,2018-01-04T18:00:00Z,train
121,2017-10-07T06:00:00Z,2017-12-06T00:00:00Z,2017-12-06T06:00:00Z,2018-01-05T00:00:00Z,train
122,2017-10-07T12:00:00Z,2017-12-06T06:00:00Z,2017-12-06T12:00:00Z,2018-01-05T06:00:00Z,train
123,2017-10-07T18:00:00Z,2017-12-06T12:00:00Z,2017-12-06T18:00:00Z,2018-01-05T12:00:00Z,train
124,2017-10-08T00:00:00Z,2017-12-06T18:00:00Z,2017-12-07T00:00:00Z,2018-01-05T18:00:00Z,train
125,2017-10-08T06:00:00Z,2017-12-07T00:00:00Z,2017-12-07T06:00:00Z,2018-01-06T00:00:00Z,train
126,2017-10-08T12:00:00Z,2017-12-07T06:00:00Z,2017-12-07T12:00:00Z,2018-01-06T06:00:00Z,train
127,2017-10-08T18:00:00Z,2017-12-07T12:00:00Z,2017-12-07T18:00:00Z,2018-01-06T12:00:00Z,train
128,2017-10-09T00:00:00Z,2017-12-07T18:00:00Z,2017-12-08T00:00:00Z,2018-01-06T18:00:00Z,train
129,2017-10-09T06:00:00Z,2017-12-08T00:00:00Z,2017-12-08T06:00:00Z,2018-01-07T00:00:00Z,train
130,2017-10-09T12:00:00Z,2017-12-08T06:00:00Z,2017-12-08T12:00:00Z,2018-01-07T06:00:00Z,train
131,2017-10-09T18:00:00Z,2017-12-08T12:00:00Z,2017-12-08T18:00:00Z,2018-01-07T12:00:00Z,train
132,2017-10-10T00:00:00Z,2017-12-08T18:00:00Z,2017-12-09T00:00:00Z,2018-01-07T18:00:00Z,train
133,2017-10-10T06:00:00Z,2017-12-09T00:00:00Z,2017-12-09T06:00:00Z,2018-01-08T00:00:00Z,train
134,2017-10-10T12:00:00Z,2017-12-09T06:00:00Z,2017-12-09T12:00:00Z,2018-01-08T06:00:00Z,train
135,2017-10-10T18:00:00Z,2017-12-09T12:00:00Z,2017-12-09T18:00:00Z,2018-01-08T12:00:00Z,train
136,2017-10-11T00:00:00Z,2017-12-09T18:00:00Z,2017-12-10T00:00:00Z,2018-01-08T18:00:00Z,train
137,2017-10-11T06:00:00Z,2017-12-10T00:00:00Z,2017-12-10T06:00:00Z,2018-01-09T00:00:00Z,train
138,2017-10-11T12:00:00Z,2017-12-10T06:00:00Z,2017-12-10T12:00:00Z,2018-01-09T06:00:00Z,train
139,2017-10-11T18:00:00Z,2017-12-10T12:00:00Z,2017-12-10T18:00:00Z,2018-01-09T12:00:00Z,train
140,2017-10-12T00:00:00Z,2017-12-10T18:00:00Z,2017-12-11T00:00:00Z,2018-01-09T18:00:00Z,train
141,2017-10-12T06:00:00Z,2017-12-11T00:00:00Z,2017-12-11T06:00:00Z,2018-01-10T00:00:00Z,train
142,2017-10-12T12:00:00Z,2017-12-11T06:00:00Z,2017-12-11T12:00:00Z,2018-01-10T06:00:00Z,train
143,2017-10-12T18:00:00Z,2017-12-11T12:00:00Z,2017-12-11T18:00:00Z,2018-01-10T12:00:00Z,train
144,2017-10-13T00:00:00Z,2017-12-11T18:00:00Z,2017-12-12T00:00:00Z,2018-01-10T18:00:00Z,train
145,2017-10-13T06:00:00Z,2017-12-12T00:00:00Z,2017-12-12T06:00:00Z,2018-01-11T00:00:00Z,train
146,2017-10-13T12:00:00Z,2017-12-12T06:00:00Z,2017-12-12T12:00:00Z,2018-01-11T06:00:00Z,train
147,2017-10-13T18:00:00Z,2017-12-12T12:00:00Z,2017-12-12T18:00:00Z,2018-01-11T12:00:00Z,train
148,2017-10-14T00:00:00Z,2017-12-12T18:00:00Z,2017-12-13T00:00:00Z,2018-01-11T18:00:00Z,train
149,2017-10-14T06:00:00Z,2017-12-13T00:00:00Z,2017-12-13T06:00:00Z,2018-01-12T00:00:00Z,train
150,2017-10-14T12:00:00Z,2017-12-13T06:00:00Z,2017-12-13T12:00:00Z,2018-01-12T06:00:00Z,train
151,2017-10-14T18:00:00Z,2017-12-13T12:00:00Z,2017-12-13T18:00:00Z,2018-01-12T12:00:00Z,train
152,2017-10-15T00:00:00Z,2017-12-13T18:00:00Z,2017-12-14T00:00:00Z,2018-01-12T18:00:00Z,train
153,2017-10-15T06:00:00Z,2017-12-14T00:00:00Z,2017-12-14T06:00:00Z,2018-01-13T00:00:00Z,train
154,2017-10-15T12:00:00Z,2017-12-14T06:00:00Z,2017-12-14T12:00:00Z,2018-01-13T06:00:00Z,train
155,2017-10-15T18:00:00Z,2017-12-14T12:00:00Z,2017-12-14T18:00:00Z,2018-01-13T12:00:00Z,train
156,2017-10-16T00:00:00Z,2017-12-14T18:00:00Z,2017-12-15T00:00:00Z,2018-01-13T18:00:00Z,train
157,2017-10-16T06:00:00Z,2017-12-15T00:00:00Z,2017-12-15T06:00:00Z,2018-01-14T00:00:00Z,train
158,2017-10-16T12:00:00Z,2017-12-15T06:00:00Z,2017-12-15T12:00:00Z,2018-01-14T06:00:00Z,train
159,2017-10-16T18:00:00Z,2017-12-15T12:00:00Z,2017-12-15T18:00:00Z,2018-01-14T12:00:00Z,train
160,2017-10-17T00:00:00Z,2017-12-15T18:00:00Z,2017-12-16T00:00:00Z,2018-01-14T18:00:00Z,train
161,2017-10-17T06:00:00Z,2017-12-16T00:00:00Z,2017-12-16T06:00:00Z,2018-01-15T00:00:00Z,train
162,2017-10-17T12:00:00Z,2017-12-16T06:00:00Z,2017-12-16T12:00:00Z,2018-01-15T06:00:00Z,train
163,2017-10-17T18:00:00Z,2017-12-16T12:00:00Z,2017-12-16T18:00:00Z,2018-01-15T12:00:00Z,train
164,2017-10-18T00:00:00Z,2017-12-16T18:00:00Z,2017-12-17T00:00:00Z,2018-01-15T18:00:00Z,train
165,2017-10-18T06:00:00Z,2017-12-17T00:00:00Z,2017-12-17T06:00:00Z,2018-01-16T00:00:00Z,train
166,2017-10-18T12:00:00Z,2017-12-17T06:00:00Z,2017-12-17T12:00:00Z,2018-01-16T06:00:00Z,train
167,2017-10-18T18:00:00Z,2017-12-17T12:00:00Z,2017-12-17T18:00:00Z,2018-01-16T12:00:00Z,train
168,2017-10-19T00:00:00Z,2017-12-17T18:00:00Z,2017-12-18T00:00:00Z,2018-01-16T18:00:00Z,train
169,2017-10-19T06:00:00Z,2017-12-18T00:00:00Z,2017-12-18T06:00:00Z,2018-01-17T00:00:00Z,train
170,2017-10-19T12:00:00Z,2017-12-18T06:00:00Z,2017-12-18T12:00:00Z,2018-01-17T06:00:00Z,train
171,2017-10-19T18:00:00Z,2017-12-18T12:00:00Z,2017-12-18T18:00:00Z,2018-01-17T12:00:00Z,train
172,2017-10-20T00:00:00Z,2017-12-18T18:00:00Z,2017-12-19T00:00:00Z,2018-01-17T18:00:00Z,train
173,2017-10-20T06:00:00Z,2017-12-19T00:00:00Z,2017-12-19T06:00:00Z,2018-01-18T00:00:00Z,train
174,2017-10-20T12:00:00Z,2017-12-19T06:00:00Z,2017-12-19T12:00:00Z,2018-01-18T06:00:00Z,train
175,2017-10-20T18:00:00Z,2017-12-19T12:00:00Z,2017-12-19T18:00:00Z,2018-01-18T12:00:00Z,train
176,2017-10-21T00:00:00Z,2017-12-19T18:00:00Z,2017-12-20T00:00:00Z,2018-01-18T18:00:00Z,train
177,2017-10-21T06:00:00Z,2017-12-20T00:00:00Z,2017-12-20T06:00:00Z,2018-01-19T00:00:00Z,train
178,2017-10-21T12:00:00Z,2017-12-20T06:00:00Z,2017-12-20T12:00:00Z,2018-01-19T06:00:00Z,train
179,2017-10-21T18:00:00Z,2017-12-20T12:00:00Z,2017-12-20T18:00:00Z,2018-01-19T12:00:00Z,train
180,2017-10-22T00:00:00Z,2017-12-20T18:00:00Z,2017-12-21T00:00:00Z,2018-01-19T18:00:00Z,train
181,2017-10-22T06:00:00Z,2017-12-21T00:00:00Z,2017-12-21T06:00:00Z,2018-01-20T00:00:00Z,train
182,2017-10-22T12:00:00Z,2017-12-21T06:00:00Z,2017-12-21T12:00:00Z,2018-01-20T06:00:00Z,train
183,2017-10-22T18:00:00Z,2017-12-21T12:00:00Z,2017-12-21T18:00:00Z,2018-01-20T12:00:00Z,train
184,2017-10-23T00:00:00Z,2017-12-21T18:00:00Z,2017-12-22T00:00:00Z,2018-01-20T18:00:00Z,train
185,2017-10-23T06:00:00Z,2017-12-22T00:00:00Z,2017-12-22T06:00:00Z,2018-01-21T00:00:00Z,train
186,2017-10-23T12:00:00Z,2017-12-22T06:00:00Z,2017-12-22T12:00:00Z,2018-01-21T06:00:00Z,train
187,2017-10-23T18:00:00Z,2017-12-22T12:00:00Z,2017-12-22T18:00:00Z,2018-01-21T12:00:00Z,train
188,2017-10-24T00:00:00Z,2017-12-22T18:00:00Z,2017-12-23T00:00:00Z,2018-01-21T18:00:00Z,train
189,2017-10-24T06:00:00Z,2017-12-23T00:00:00Z,2017-12-23T06:00:00Z,2018-01-22T00:00:00Z,train
190,2017-10-24T12:00:00Z,2017-12-23T06:00:00Z,2017-12-23T12:00:00Z,2018-01-22T06:00:00Z,train
191,2017-10-24T18:00:00Z,2017-12-23T12:00:00Z,2017-12-23T18:00:00Z,2018-01-22T12:00:00Z,train
192,2017-10-25T00:00:00Z,2017-12-23T18:00:00Z,2017-12-24T00:00:00Z,2018-01-22T18:00:00Z,train
193,2017-10-25T06:00:00Z,2017-12-24T00:00:00Z,2017-12-24T06:00:00Z,2018-01-23T00:00:00Z,train
194,2017-10-25T12:00:00Z,2017-12-24T06:00:00Z,2017-12-24T12:00:00Z,2018-01-23T06:00:00Z,train
195,2017-10-25T18:00:00Z,2017-12-24T12:00:00Z,2017-12-24T18:00:00Z,2018-01-23T12:00:00Z,train
196,2017-10-26T00:00:00Z,2017-12-24T18:00:00Z,2017-12-25T00:00:00Z,2018-01-23T18:00:00Z,train
197,2017-10-26T06:00:00Z,2017-12-25T00:00:00Z,2017-12-25T06:00:00Z,2018-01-24T00:00:00Z,train
198,2017-10-26T12:00:00Z,2017-12-25T06:00:00Z,2017-12-25T12:00:00Z,2018-01-24T06:00:00Z,train
199,2017-10-26T18:00:00Z,2017-12-25T12:00:00Z,2017-12-25T18:00:00Z,2018-01-24T12:00:00Z,train
200,2017-10-27T00:00:00Z,2017-12-25T18:00:00Z,2017-12-26T00:00:00Z,2018-01-24T18:00:00Z,train
201,2017-10-27T06:00:00Z,2017-12-26T00:00:00Z,2017-12-26T06:00:00Z,2018-01-25T00:00:00Z,train
202,2017-10-27T12:00:00Z,2017-12-26T06:00:00Z,2017-12-26T12:00:00Z,2018-01-25T06:00:00Z,train
203,2017-10-27T18:00:00Z,2017-12-26T12:00:00Z,2017-12-26T18:00:00Z,2018-01-25T12:00:00Z,train
204,2017-10-28T00:00:00Z,2017-12-26T18:00:00Z,2017-12-27T00:00:00Z,2018-01-25T18:00:00Z,train
205,2017-10-28T06:00:00Z,2017-12-27T00:00:00Z,2017-12-27T06:00:00Z,2018-01-26T00:00:00Z,train
206,2017-10-28T12:00:00Z,2017-12-27T06:00:00Z,2017-12-27T12:00:00Z,2018-01-26T06:00:00Z,train
207,2017-10-28T18:00:00Z,2017-12-27T12:00:00Z,2017-12-27T18:00:00Z,2018-01-26T12:00:00Z,train
208,2017-10-29T00:00:00Z,2017-12-27T18:00:00Z,2017-12-28T00:00:00Z,2018-01-26T18:00:00Z,train
209,2017-10-29T06:00:00Z,2017-12-28T00:00:00Z,2017-12-28T06:00:00Z,2018-01-27T00:00:00Z,train
210,2017-10-29T12:00:00Z,2017-12-28T06:00:00Z,2017-12-28T12:00:00Z,2018-01-27T06:00:00Z,train
211,2017-10-29T18:00:00Z,2017-12-28T12:00:00Z,2017-12-28T18:00:00Z,2018-01-27T12:00:00Z,train
212,2017-10-30T00:00:00Z,2017-12-28T18:00:00Z,2017-12-29T00:00:00Z,2018-01-27T18:00:00Z,train
213,2017-10-30T06:00:00Z,2017-12-29T00:00:00Z,2017-12-29T06:00:00Z,2018-01-28T00:00:00Z,train
214,2017-10-30T12:00:00Z,2017-12-29T06:00:00Z,2017-12-29T12:00:00Z,2018-01-28T06:00:00Z,train
215,2017-10-30T18:00:00Z,2017-12-29T12:00:00Z,2017-12-29T18:00:00Z,2018-01-28T12:00:00Z,train
216,2017-10-31T00:00:00Z,2017-12-29T18:00:00Z,2017-12-30T00:00:00Z,2018-01-28T18:00:00Z,train
